unit_id,variant_id,shift_id,sequence_number,start_time_s
UNIT-000169,SUV,SHIFT_1,169,10140.0
UNIT-000170,SEDAN,SHIFT_1,170,10200.0
UNIT-000171,SUV,SHIFT_1,171,10260.0
UNIT-000172,SEDAN,SHIFT_1,172,10320.0
UNIT-000173,SEDAN,SHIFT_1,173,10380.0
UNIT-000174,SEDAN,SHIFT_1,174,10440.0
UNIT-000175,SEDAN,SHIFT_1,175,10500.0
UNIT-000176,SEDAN,SHIFT_1,176,10560.0
UNIT-000177,SEDAN,SHIFT_1,177,10620.0
UNIT-000178,SEDAN,SHIFT_1,178,10680.0
UNIT-000179,SEDAN,SHIFT_1,179,10740.0
UNIT-000180,SEDAN,SHIFT_1,180,10800.0
UNIT-000181,SEDAN,SHIFT_1,181,10860.0
UNIT-000182,SEDAN,SHIFT_1,182,10920.0
UNIT-000183,SEDAN,SHIFT_1,183,10980.0
UNIT-000184,SEDAN,SHIFT_1,184,11040.0
UNIT-000185,SUV,SHIFT_1,185,11100.0
UNIT-000186,SEDAN,SHIFT_1,186,11160.0
UNIT-000187,SUV,SHIFT_1,187,11220.0
UNIT-000188,SUV,SHIFT_1,188,11280.0
UNIT-000189,SEDAN,SHIFT_1,189,11340.0
UNIT-000190,SEDAN,SHIFT_1,190,11400.0
UNIT-000191,SUV,SHIFT_1,191,11460.0
UNIT-000192,SUV,SHIFT_1,192,11520.0
UNIT-000193,SUV,SHIFT_1,193,11580.0
UNIT-000194,SEDAN,SHIFT_1,194,11640.0
UNIT-000195,SEDAN,SHIFT_1,195,11700.0
UNIT-000196,SEDAN,SHIFT_1,196,11760.0
UNIT-000197,SEDAN,SHIFT_1,197,11820.0
UNIT-000198,SEDAN,SHIFT_1,198,11880.0
UNIT-000199,SEDAN,SHIFT_1,199,11940.0
UNIT-000200,SEDAN,SHIFT_1,200,12000.0
UNIT-000201,SUV,SHIFT_1,201,12060.0
UNIT-000202,SEDAN,SHIFT_1,202,12120.0
UNIT-000203,SUV,SHIFT_1,203,12180.0
UNIT-000204,SUV,SHIFT_1,204,12240.0
UNIT-000205,SEDAN,SHIFT_1,205,12300.0
UNIT-000206,SUV,SHIFT_1,206,12360.0
UNIT-000207,SUV,SHIFT_1,207,12420.0
UNIT-000208,SEDAN,SHIFT_1,208,12480.0
UNIT-000209,SUV,SHIFT_1,209,12540.0
UNIT-000210,SEDAN,SHIFT_1,210,12600.0
UNIT-000211,SEDAN,SHIFT_1,211,12660.0
UNIT-000212,SUV,SHIFT_1,212,12720.0
UNIT-000213,SEDAN,SHIFT_1,213,12780.0
UNIT-000214,SUV,SHIFT_1,214,12840.0
UNIT-000215,SUV,SHIFT_1,215,12900.0
UNIT-000216,SUV,SHIFT_1,216,12960.0
UNIT-000217,SUV,SHIFT_1,217,13020.0
UNIT-000218,SEDAN,SHIFT_1,218,13080.0
UNIT-000219,SEDAN,SHIFT_1,219,13140.0
UNIT-000220,SEDAN,SHIFT_1,220,13200.0
UNIT-000221,SUV,SHIFT_1,221,13260.0
UNIT-000222,SUV,SHIFT_1,222,13320.0
UNIT-000223,SEDAN,SHIFT_1,223,13380.0
UNIT-000224,SUV,SHIFT_1,224,13440.0
UNIT-000225,SEDAN,SHIFT_1,225,13500.0
UNIT-000226,SEDAN,SHIFT_1,226,13560.0
UNIT-000227,SEDAN,SHIFT_1,227,13620.0
UNIT-000228,SUV,SHIFT_1,228,13680.0
UNIT-000229,SEDAN,SHIFT_1,229,13740.0
UNIT-000230,SEDAN,SHIFT_1,230,13800.0
UNIT-000231,SEDAN,SHIFT_1,231,13860.0
UNIT-000232,SUV,SHIFT_1,232,13920.0
UNIT-000233,SEDAN,SHIFT_1,233,13980.0
UNIT-000234,SEDAN,SHIFT_1,234,14040.0
UNIT-000235,SEDAN,SHIFT_1,235,14100.0
UNIT-000236,SEDAN,SHIFT_1,236,14160.0
UNIT-000237,SUV,SHIFT_1,237,14220.0
UNIT-000238,SEDAN,SHIFT_1,238,14280.0
UNIT-000239,SUV,SHIFT_1,239,14340.0
UNIT-000240,SUV,SHIFT_1,240,14400.0
UNIT-000241,SEDAN,SHIFT_1,241,14460.0
UNIT-000242,SEDAN,SHIFT_1,242,14520.0
UNIT-000243,SEDAN,SHIFT_1,243,14580.0
UNIT-000244,SEDAN,SHIFT_1,244,14640.0
UNIT-000245,SUV,SHIFT_1,245,14700.0
UNIT-000246,SEDAN,SHIFT_1,246,14760.0
UNIT-000247,SUV,SHIFT_1,247,14820.0
UNIT-000248,SEDAN,SHIFT_1,248,14880.0
UNIT-000249,SUV,SHIFT_1,249,14940.0
UNIT-000250,SUV,SHIFT_1,250,15000.0
UNIT-000251,SUV,SHIFT_1,251,15060.0
UNIT-000252,SEDAN,SHIFT_1,252,15120.0
UNIT-000253,SEDAN,SHIFT_1,253,15180.0
UNIT-000254,SEDAN,SHIFT_1,254,15240.0
UNIT-000255,SEDAN,SHIFT_1,255,15300.0
UNIT-000256,SEDAN,SHIFT_1,256,15360.0
UNIT-000257,SUV,SHIFT_1,257,15420.0
UNIT-000258,SUV,SHIFT_1,258,15480.0
UNIT-000259,SUV,SHIFT_1,259,15540.0
UNIT-000260,SEDAN,SHIFT_1,260,15600.0
UNIT-000261,SUV,SHIFT_1,261,15660.0
UNIT-000262,SEDAN,SHIFT_1,262,15720.0
UNIT-000263,SUV,SHIFT_1,263,15780.0
UNIT-000264,SUV,SHIFT_1,264,15840.0
UNIT-000265,SEDAN,SHIFT_1,265,15900.0
UNIT-000266,SUV,SHIFT_1,266,15960.0
UNIT-000267,SEDAN,SHIFT_1,267,16020.0
UNIT-000268,SUV,SHIFT_1,268,16080.0
UNIT-000269,SEDAN,SHIFT_1,269,16140.0
UNIT-000270,SEDAN,SHIFT_1,270,16200.0
UNIT-000271,SUV,SHIFT_1,271,16260.0
UNIT-000272,SEDAN,SHIFT_1,272,16320.0
UNIT-000273,SEDAN,SHIFT_1,273,16380.0
UNIT-000274,SEDAN,SHIFT_1,274,16440.0
UNIT-000275,SEDAN,SHIFT_1,275,16500.0
UNIT-000276,SUV,SHIFT_1,276,16560.0
UNIT-000277,SEDAN,SHIFT_1,277,16620.0
UNIT-000278,SUV,SHIFT_1,278,16680.0
UNIT-000279,SEDAN,SHIFT_1,279,16740.0
UNIT-000280,SUV,SHIFT_1,280,16800.0
UNIT-000281,SEDAN,SHIFT_1,281,16860.0
UNIT-000282,SUV,SHIFT_1,282,16920.0
UNIT-000283,SUV,SHIFT_1,283,16980.0
UNIT-000284,SEDAN,SHIFT_1,284,17040.0
UNIT-000285,SEDAN,SHIFT_1,285,17100.0
UNIT-000286,SUV,SHIFT_1,286,17160.0
UNIT-000287,SEDAN,SHIFT_1,287,17220.0
UNIT-000288,SEDAN,SHIFT_1,288,17280.0
UNIT-000289,SEDAN,SHIFT_1,289,17340.0
UNIT-000290,SEDAN,SHIFT_1,290,17400.0
UNIT-000291,SUV,SHIFT_1,291,17460.0
UNIT-000292,SUV,SHIFT_1,292,17520.0
UNIT-000293,SEDAN,SHIFT_1,293,17580.0
UNIT-000294,SEDAN,SHIFT_1,294,17640.0
UNIT-000295,SUV,SHIFT_1,295,17700.0
UNIT-000296,SEDAN,SHIFT_1,296,17760.0
UNIT-000297,SUV,SHIFT_1,297,17820.0
UNIT-000298,SEDAN,SHIFT_1,298,17880.0
UNIT-000299,SEDAN,SHIFT_1,299,17940.0
UNIT-000300,SUV,SHIFT_1,300,18000.0
UNIT-000301,SEDAN,SHIFT_1,301,18060.0
UNIT-000302,SUV,SHIFT_1,302,18120.0
UNIT-000303,SUV,SHIFT_1,303,18180.0
UNIT-000304,SEDAN,SHIFT_1,304,18240.0
UNIT-000305,SEDAN,SHIFT_1,305,18300.0
UNIT-000306,SEDAN,SHIFT_1,306,18360.0
UNIT-000307,SEDAN,SHIFT_1,307,18420.0
UNIT-000308,SUV,SHIFT_1,308,18480.0
UNIT-000309,SEDAN,SHIFT_1,309,18540.0
UNIT-000310,SEDAN,SHIFT_1,310,18600.0
UNIT-000311,SUV,SHIFT_1,311,18660.0
UNIT-000312,SEDAN,SHIFT_1,312,18720.0
UNIT-000313,SUV,SHIFT_1,313,18780.0
UNIT-000314,SUV,SHIFT_1,314,18840.0
UNIT-000315,SEDAN,SHIFT_1,315,18900.0
UNIT-000316,SEDAN,SHIFT_1,316,18960.0
UNIT-000317,SEDAN,SHIFT_1,317,19020.0
UNIT-000318,SUV,SHIFT_1,318,19080.0
UNIT-000319,SEDAN,SHIFT_1,319,19140.0
UNIT-000320,SUV,SHIFT_1,320,19200.0
UNIT-000321,SEDAN,SHIFT_1,321,19260.0
UNIT-000322,SUV,SHIFT_1,322,19320.0
UNIT-000323,SEDAN,SHIFT_1,323,19380.0
UNIT-000324,SEDAN,SHIFT_1,324,19440.0
UNIT-000325,SEDAN,SHIFT_1,325,19500.0
UNIT-000326,SUV,SHIFT_1,326,19560.0
UNIT-000327,SEDAN,SHIFT_1,327,19620.0
UNIT-000328,SUV,SHIFT_1,328,19680.0
UNIT-000329,SEDAN,SHIFT_1,329,19740.0
UNIT-000330,SUV,SHIFT_1,330,19800.0
UNIT-000331,SEDAN,SHIFT_1,331,19860.0
UNIT-000332,SUV,SHIFT_1,332,19920.0
UNIT-000333,SEDAN,SHIFT_1,333,19980.0
UNIT-000334,SEDAN,SHIFT_1,334,20040.0
UNIT-000335,SUV,SHIFT_1,335,20100.0
UNIT-000336,SEDAN,SHIFT_1,336,20160.0
UNIT-000337,SUV,SHIFT_1,337,20220.0
UNIT-000338,SUV,SHIFT_1,338,20280.0
UNIT-000339,SEDAN,SHIFT_1,339,20340.0
UNIT-000340,SEDAN,SHIFT_1,340,20400.0
UNIT-000341,SEDAN,SHIFT_1,341,20460.0
UNIT-000342,SEDAN,SHIFT_1,342,20520.0
UNIT-000343,SEDAN,SHIFT_1,343,20580.0
UNIT-000344,SUV,SHIFT_1,344,20640.0
UNIT-000345,SUV,SHIFT_1,345,20700.0
UNIT-000346,SEDAN,SHIFT_1,346,20760.0
UNIT-000347,SEDAN,SHIFT_1,347,20820.0
UNIT-000348,SEDAN,SHIFT_1,348,20880.0
UNIT-000349,SEDAN,SHIFT_1,349,20940.0
UNIT-000350,SEDAN,SHIFT_1,350,21000.0
UNIT-000351,SUV,SHIFT_1,351,21060.0
UNIT-000352,SUV,SHIFT_1,352,21120.0
UNIT-000353,SEDAN,SHIFT_1,353,21180.0
UNIT-000354,SEDAN,SHIFT_1,354,21240.0
UNIT-000355,SUV,SHIFT_1,355,21300.0
UNIT-000356,SEDAN,SHIFT_1,356,21360.0
UNIT-000357,SEDAN,SHIFT_1,357,21420.0
UNIT-000358,SEDAN,SHIFT_1,358,21480.0
UNIT-000359,SEDAN,SHIFT_1,359,21540.0
UNIT-000360,SEDAN,SHIFT_1,360,21600.0
UNIT-000361,SEDAN,SHIFT_1,361,21660.0
UNIT-000362,SUV,SHIFT_1,362,21720.0
UNIT-000363,SEDAN,SHIFT_1,363,21780.0
UNIT-000364,SEDAN,SHIFT_1,364,21840.0
UNIT-000365,SUV,SHIFT_1,365,21900.0
UNIT-000366,SEDAN,SHIFT_1,366,21960.0
UNIT-000367,SEDAN,SHIFT_1,367,22020.0
UNIT-000368,SEDAN,SHIFT_1,368,22080.0
UNIT-000369,SUV,SHIFT_1,369,22140.0
UNIT-000370,SEDAN,SHIFT_1,370,22200.0
UNIT-000371,SEDAN,SHIFT_1,371,22260.0
UNIT-000372,SEDAN,SHIFT_1,372,22320.0
UNIT-000373,SEDAN,SHIFT_1,373,22380.0
UNIT-000374,SUV,SHIFT_1,374,22440.0
UNIT-000375,SEDAN,SHIFT_1,375,22500.0
UNIT-000376,SUV,SHIFT_1,376,22560.0
UNIT-000377,SEDAN,SHIFT_1,377,22620.0
UNIT-000378,SUV,SHIFT_1,378,22680.0
UNIT-000379,SEDAN,SHIFT_1,379,22740.0
UNIT-000380,SEDAN,SHIFT_1,380,22800.0
UNIT-000381,SEDAN,SHIFT_1,381,22860.0
UNIT-000382,SEDAN,SHIFT_1,382,22920.0
UNIT-000383,SUV,SHIFT_1,383,22980.0
UNIT-000384,SEDAN,SHIFT_1,384,23040.0
UNIT-000385,SUV,SHIFT_1,385,23100.0
UNIT-000386,SEDAN,SHIFT_1,386,23160.0
UNIT-000387,SEDAN,SHIFT_1,387,23220.0
UNIT-000388,SEDAN,SHIFT_1,388,23280.0
UNIT-000389,SEDAN,SHIFT_1,389,23340.0
UNIT-000390,SUV,SHIFT_1,390,23400.0
UNIT-000391,SUV,SHIFT_1,391,23460.0
UNIT-000392,SEDAN,SHIFT_1,392,23520.0
UNIT-000393,SEDAN,SHIFT_1,393,23580.0
UNIT-000394,SEDAN,SHIFT_1,394,23640.0
UNIT-000395,SUV,SHIFT_1,395,23700.0
UNIT-000396,SEDAN,SHIFT_1,396,23760.0
UNIT-000397,SUV,SHIFT_1,397,23820.0
UNIT-000398,SUV,SHIFT_1,398,23880.0
UNIT-000399,SUV,SHIFT_1,399,23940.0
UNIT-000400,SEDAN,SHIFT_1,400,24000.0
UNIT-000401,SUV,SHIFT_1,401,24060.0
UNIT-000402,SEDAN,SHIFT_1,402,24120.0
UNIT-000403,SEDAN,SHIFT_1,403,24180.0
UNIT-000404,SUV,SHIFT_1,404,24240.0
UNIT-000405,SUV,SHIFT_1,405,24300.0
UNIT-000406,SUV,SHIFT_1,406,24360.0
UNIT-000407,SUV,SHIFT_1,407,24420.0
UNIT-000408,SEDAN,SHIFT_1,408,24480.0
UNIT-000409,SEDAN,SHIFT_1,409,24540.0
UNIT-000410,SEDAN,SHIFT_1,410,24600.0
UNIT-000411,SEDAN,SHIFT_1,411,24660.0
UNIT-000412,SUV,SHIFT_1,412,24720.0
UNIT-000413,SEDAN,SHIFT_1,413,24780.0
UNIT-000414,SUV,SHIFT_1,414,24840.0
UNIT-000415,SEDAN,SHIFT_1,415,24900.0
UNIT-000416,SUV,SHIFT_1,416,24960.0
UNIT-000417,SEDAN,SHIFT_1,417,25020.0
UNIT-000418,SEDAN,SHIFT_1,418,25080.0
UNIT-000419,SUV,SHIFT_1,419,25140.0
UNIT-000420,SUV,SHIFT_1,420,25200.0
UNIT-000421,SUV,SHIFT_1,421,25260.0
UNIT-000422,SUV,SHIFT_1,422,25320.0
UNIT-000423,SEDAN,SHIFT_1,423,25380.0
UNIT-000424,SUV,SHIFT_1,424,25440.0
UNIT-000425,SUV,SHIFT_1,425,25500.0
UNIT-000426,SUV,SHIFT_1,426,25560.0
UNIT-000427,SUV,SHIFT_1,427,25620.0
UNIT-000428,SEDAN,SHIFT_1,428,25680.0
UNIT-000429,SUV,SHIFT_1,429,25740.0
UNIT-000430,SEDAN,SHIFT_1,430,25800.0
UNIT-000431,SEDAN,SHIFT_1,431,25860.0
UNIT-000432,SEDAN,SHIFT_1,432,25920.0
UNIT-000433,SUV,SHIFT_1,433,25980.0
UNIT-000434,SEDAN,SHIFT_1,434,26040.0
UNIT-000435,SUV,SHIFT_1,435,26100.0
UNIT-000436,SUV,SHIFT_1,436,26160.0
UNIT-000437,SUV,SHIFT_1,437,26220.0
UNIT-000438,SUV,SHIFT_1,438,26280.0
UNIT-000439,SEDAN,SHIFT_1,439,26340.0
UNIT-000440,SEDAN,SHIFT_1,440,26400.0
UNIT-000441,SUV,SHIFT_1,441,26460.0
UNIT-000442,SUV,SHIFT_1,442,26520.0
UNIT-000443,SUV,SHIFT_1,443,26580.0
UNIT-000444,SEDAN,SHIFT_1,444,26640.0
UNIT-000445,SUV,SHIFT_1,445,26700.0
UNIT-000446,SEDAN,SHIFT_1,446,26760.0
UNIT-000447,SEDAN,SHIFT_1,447,26820.0
UNIT-000448,SUV,SHIFT_1,448,26880.0
UNIT-000449,SEDAN,SHIFT_1,449,26940.0
UNIT-000450,SEDAN,SHIFT_1,450,27000.0
UNIT-000451,SEDAN,SHIFT_1,451,27060.0
UNIT-000452,SUV,SHIFT_1,452,27120.0
UNIT-000453,SUV,SHIFT_1,453,27180.0
UNIT-000454,SUV,SHIFT_1,454,27240.0
UNIT-000455,SEDAN,SHIFT_1,455,27300.0
UNIT-000456,SEDAN,SHIFT_1,456,27360.0
UNIT-000457,SUV,SHIFT_1,457,27420.0
UNIT-000458,SUV,SHIFT_1,458,27480.0
UNIT-000459,SEDAN,SHIFT_1,459,27540.0
UNIT-000460,SEDAN,SHIFT_1,460,27600.0
UNIT-000461,SUV,SHIFT_1,461,27660.0
UNIT-000462,SUV,SHIFT_1,462,27720.0
UNIT-000463,SUV,SHIFT_1,463,27780.0
UNIT-000464,SEDAN,SHIFT_1,464,27840.0
UNIT-000465,SUV,SHIFT_1,465,27900.0
UNIT-000466,SUV,SHIFT_1,466,27960.0
UNIT-000467,SUV,SHIFT_1,467,28020.0
UNIT-000468,SEDAN,SHIFT_1,468,28080.0
UNIT-000469,SEDAN,SHIFT_1,469,28140.0
UNIT-000470,SUV,SHIFT_1,470,28200.0
UNIT-000471,SUV,SHIFT_1,471,28260.0
UNIT-000472,SUV,SHIFT_1,472,28320.0
UNIT-000473,SEDAN,SHIFT_1,473,28380.0
UNIT-000474,SEDAN,SHIFT_1,474,28440.0
UNIT-000475,SUV,SHIFT_1,475,28500.0
UNIT-000476,SEDAN,SHIFT_1,476,28560.0
UNIT-000477,SEDAN,SHIFT_1,477,28620.0
UNIT-000478,SUV,SHIFT_1,478,28680.0
UNIT-000479,SUV,SHIFT_1,479,28740.0
UNIT-000480,SUV,SHIFT_2,480,28800.0
UNIT-000481,SEDAN,SHIFT_2,481,28860.0
UNIT-000482,SEDAN,SHIFT_2,482,28920.0
UNIT-000483,SEDAN,SHIFT_2,483,28980.0
UNIT-000484,SEDAN,SHIFT_2,484,29040.0
UNIT-000485,SEDAN,SHIFT_2,485,29100.0
UNIT-000486,SEDAN,SHIFT_2,486,29160.0
UNIT-000487,SUV,SHIFT_2,487,29220.0
UNIT-000488,SEDAN,SHIFT_2,488,29280.0
UNIT-000489,SUV,SHIFT_2,489,29340.0
UNIT-000490,SEDAN,SHIFT_2,490,29400.0
UNIT-000491,SUV,SHIFT_2,491,29460.0
UNIT-000492,SEDAN,SHIFT_2,492,29520.0
UNIT-000493,SEDAN,SHIFT_2,493,29580.0
UNIT-000494,SEDAN,SHIFT_2,494,29640.0
